glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
GlcA(b1-3)GalA(a1-2)Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha-ol,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
GlcA(b1-3)GalA(a1-2)Rha-ol,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
[GlcA(b1-3)]GalA(a1-2)Rha(a1-4)GalA,Abelmoschus_manihot,Abelmoschus,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Gal(a1-4)Gal(a1-4)Gal,Abies_sibirica,Abies,Pinaceae,Pinales,Pinopsida,Pinophyta,Plantae,Eukarya,https://www.sciencedirect.com/science/article/pii/S0144861721002125
Rha(a1-4)[GlcA(b1-3)]GalA(a1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(b1-2)[GlcA(?1-?)]Rha(b1-2)[GlcA(?1-?)]L-Man(b1-2)[Araf(?1-?)]Rha(b1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(b1-2)[GlcA(b1-3)]Rha(b1-2)[GlcA(b1-3)]L-Man(b1-2)[Araf(a1-3)]Rha(b1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(b1-2)[GlcA(b1-3)]Rha(b1-2)[GlcA(b1-3)]L-Man(b1-2)[Araf(a1-4)]Rha(b1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(b1-2)[GlcA(b1-3)]Rha(b1-2)[GlcA(b1-4)]L-Man(b1-2)[Araf(a1-4)]Rha(b1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(b1-2)[GlcA(b1-4)]Rha(b1-2)[GlcA(b1-3)]L-Man(b1-2)[Araf(a1-4)]Rha(b1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(b1-2)[GlcA(b1-4)]Rha(b1-2)[GlcA(b1-4)]L-Man(b1-2)[Araf(a1-3)]Rha(b1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(b1-2)[GlcA(b1-4)]Rha(b1-2)[GlcA(b1-4)]L-Man(b1-2)[Araf(a1-4)]Rha(b1-2)Rha,Abroma_augustum,Abroma,Malvaceae,Malvales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-3)Man(a1-6)[Xyl(b1-2)][Man(a1-3)]Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc,Abrus_precatorius,Abrus,Fabaceae,Fabales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-3)[Man(a1-3)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Abrus_precatorius,Abrus,Fabaceae,Fabales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Abrus_precatorius,Abrus,Fabaceae,Fabales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-6)[Xyl(b1-2)][Man(a1-3)]Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Abrus_precatorius,Abrus,Fabaceae,Fabales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(a1-2)Gal(b1-2)GlcA6Me,Abrus_precatorius,Abrus,Fabaceae,Fabales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(a1-2)Gal(b1-2)GlcAOMe,Abrus_precatorius,Abrus,Fabaceae,Fabales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Glc(b1-3)Glc(b1-4)[Rha(a1-2)]Glc,Absidia_coerulea,Absidia,Cunninghamellaceae,Mucorales,Zygomycetes,Zygomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25498025/
Rha(a1-2)Glc,Absidia_coerulea,Absidia,Cunninghamellaceae,Mucorales,Zygomycetes,Zygomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25498025/
Rha(a1-2)[Glc(b1-4)]Glc,Absidia_coerulea,Absidia,Cunninghamellaceae,Mucorales,Zygomycetes,Zygomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/25498025/
Gal(b1-6)Gal1Cer,Absidia_corymbifera,Absidia,Cunninghamellaceae,Mucorales,Zygomycetes,Zygomycota,Fungi,Eukarya,https://pubmed.ncbi.nlm.nih.gov/12691848/
Ara(a1-2)[Glc(b1-6)]Glc,Acacia_auriculiformis,Acacia,Fabaceae,Fabales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Rha(a1-3)GlcNAc6Pyr(b1-3)Rha,Acanthamoeba_polyphaga_mimivirus,Mimivirus,Mimiviridae,Imitervirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Virus,https://onlinelibrary.wiley.com/doi/10.1002/anie.202106671
[VioNAc(b1-3)]Rha(a1-3)GlcNAc(b1-2)Rha,Acanthamoeba_polyphaga_mimivirus,Mimivirus,Mimiviridae,Imitervirales,Megaviricetes,Nucleocytoviricota,Bamfordvirae,Virus,https://onlinelibrary.wiley.com/doi/10.1002/anie.202106671
Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Pen(?1-?)Man(a1-2)Man(a1-3)[Pen(?1-?)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Man(a1-?)Fuc(a1-6)]GlcNAc,Acanthamoeba_sp,Acanthamoeba,Acanthamoebidae,Centramoebida,Discosea,Amoebozoa,Protista,Eukarya,https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)[Xyl(?1-?)]GlcNAc(b1-4)GlcNAc,Acanthamoeba_sp,Acanthamoeba,Acanthamoebidae,Centramoebida,Discosea,Amoebozoa,Protista,Eukarya,https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext
Man(a1-2)Man(a1-2)ManOMe(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthamoeba_sp,Acanthamoeba,Acanthamoebidae,Centramoebida,Discosea,Amoebozoa,Protista,Eukarya,https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[ManOP(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthamoeba_sp,Acanthamoeba,Acanthamoebidae,Centramoebida,Discosea,Amoebozoa,Protista,Eukarya,https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Man(a1-?)Fuc(a1-6)]GlcNAc,Acanthamoeba_sp,Acanthamoeba,Acanthamoebidae,Centramoebida,Discosea,Amoebozoa,Protista,Eukarya,https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext
Pen(?1-?)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)ManOMe(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthamoeba_sp,Acanthamoeba,Acanthamoebidae,Centramoebida,Discosea,Amoebozoa,Protista,Eukarya,https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext
Pen(?1-?)Pen(?1-?)[Man(a1-2)]Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)[Pen(?1-?)Xyl(?1-?)]GlcNAc(b1-4)GlcNAc,Acanthamoeba_sp,Acanthamoeba,Acanthamoebidae,Centramoebida,Discosea,Amoebozoa,Protista,Eukarya,https://www.jbc.org/article/S0021-9258(20)41716-8/fulltext
Galf(b1-3)Gal(a1-3)Gal(a1-4)Neu5Ac(a2-4)Gal(b1-4)Glc1Cer,Acanthaster_planci,Acanthaster,Acanthasteridae,Valvatida,Asteroidea,Echinodermata,Animalia,Eukarya,
Galf(b1-3)Gal(a1-4)Neu5Ac(a2-4)Gal(b1-4)Glc1Cer,Acanthaster_planci,Acanthaster,Acanthasteridae,Valvatida,Asteroidea,Echinodermata,Animalia,Eukarya,
Galf(b1-4)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,Acanthaster_planci,Acanthaster,Acanthasteridae,Valvatida,Asteroidea,Echinodermata,Animalia,Eukarya,
Gal(a1-3)GalNAc(b1-4)GlcNAc6PCho(b1-3)Man(b1-4)Glc1Cer,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://www.sciencedirect.com/science/article/pii/S016668511630161X
GalNAc(b1-4)GlcNAc6PCho(b1-3)Man(b1-4)Glc1Cer,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://www.sciencedirect.com/science/article/pii/S016668511630161X
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
GlcNAc6PCho(b1-2)[GlcNAc6PCho(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc6PCho(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31094418/
GlcNAc6PCho(b1-2)[GlcNAc6PCho(b1-4)]Man(a1-3)[GlcNAc6PCho(b1-2)Man(a1-6)]Man(b1-4)GlcNAc6PCho(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31094418/
GlcNAc6PCho(b1-2)[GlcNAc6PCho(b1-4)]Man(a1-3)[GlcNAc6PCho(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc6PCho(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31094418/
GlcNAc6PCho(b1-2)[GlcNAc6PCho(b1-4)]Man(a1-3)[GlcNAc6PCho(b1-2)[GlcNAc6PCho(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc6PCho(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/31094418/
GlcNAc6PCho(b1-3)Man(b1-4)Glc1Cer,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://www.sciencedirect.com/science/article/pii/S016668511630161X
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Acanthocheilonema_viteae,Acanthocheilonema,Onchocercidae,Rhabditida,Chromadorea,Nematoda,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/9108548/
Glc1Cer,Acaudina_molpadioides,Acaudina,Caudinidae,Molpadiida,Holothuroidea,Echinodermata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/22004409/
[Fuc2S4S(a1-3)]GlcA(b1-3)GalNAc4S6S(b1-4)GlcA,Acaudina_molpadioides,Acaudina,Caudinidae,Molpadiida,Holothuroidea,Echinodermata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/32718614/
[Fuc4S(a1-3)]GlcA(b1-3)GalNAc4S6S(b1-4)GlcA,Acaudina_molpadioides,Acaudina,Caudinidae,Molpadiida,Holothuroidea,Echinodermata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/32718614/
[GalNAc(a1-2)Fuc3S4S(a1-3)]GlcA(b1-3)GalNAc4S6S(b1-4)GlcA,Acaudina_molpadioides,Acaudina,Caudinidae,Molpadiida,Holothuroidea,Echinodermata,Animalia,Eukarya,https://pubmed.ncbi.nlm.nih.gov/32718614/
Araf(?1-?)GalA(a1-4)GalA,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(a1-2)Araf(a1-3)Gal(b1-4)Rha-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(a1-2)[Xyl(a1-6)Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)][Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(a1-2)[Xyl(a1-6)Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)][Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(a1-2)[Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)][Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(a1-2)[Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)][Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)Glc-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(a1-3)Gal(b1-4)Rha-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(a1-5)Araf(a1-2)Araf(a1-3)Gal(b1-4)Rha-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Araf(b1-5)Dha,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Fuc(a1-2)Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Fuc(a1-2)Gal(b1-2)Xyl(a1-6)[Xyl(a1-6)Glc(b1-4)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Xyl(a1-6)]Glc(b1-4)[Fuc(a1-2)Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc-ol,Acer_pseudoplatanus,Acer,Sapindaceae,Sapindales,Dicotyledons,Angiosperms,Plantae,Eukarya,
